"documentID" "category" "rankingScore"
"1" 61413 "sci.space" 0.74857
"2" 61140 "sci.space" 0.728491
"3" 59873 "sci.space" 0.690819
"4" 60888 "sci.space" 0.661478
"5" 61332 "sci.space" 0.658837
"6" 61244 "sci.space" 0.657606
"7" 61101 "sci.space" 0.648504
"8" 176877 "talk.politics.misc" 0.629923
"9" 53125 "alt.atheism" 0.615694
"10" 61166 "sci.space" 0.614449
"11" 53564 "alt.atheism" 0.610376
"12" 61110 "sci.space" 0.607842
"13" 75881 "talk.politics.mideast" 0.603742
"14" 60103 "sci.space" 0.603294
"15" 178914 "talk.politics.misc" 0.592624
"16" 178314 "talk.politics.misc" 0.582812
"17" 59905 "sci.space" 0.581662
"18" 60159 "sci.space" 0.573623
"19" 61467 "sci.space" 0.572148
"20" 178724 "talk.politics.misc" 0.565592
"21" 53599 "alt.atheism" 0.554864
"22" 60959 "sci.space" 0.547736
"23" 61201 "sci.space" 0.546782
"24" 178971 "talk.politics.misc" 0.545817
"25" 67503 "comp.windows.x" 0.545495
"26" 61172 "sci.space" 0.545178
"27" 61090 "sci.space" 0.544931
"28" 20551 "soc.religion.christian" 0.544401
"29" 61040 "sci.space" 0.542595
"30" 76357 "talk.politics.mideast" 0.54086
"31" 61401 "sci.space" 0.536595
"32" 105117 "rec.sport.baseball" 0.53585
"33" 61157 "sci.space" 0.533567
"34" 61022 "sci.space" 0.533456
"35" 61096 "sci.space" 0.531968
"36" 15176 "sci.crypt" 0.530541
"37" 53587 "sci.electronics" 0.529906
"38" 61309 "sci.space" 0.529906
"39" 60983 "sci.space" 0.52947
"40" 61143 "sci.space" 0.526303
"41" 38758 "comp.graphics" 0.524755
"42" 61069 "sci.space" 0.523096
"43" 60966 "sci.space" 0.522521
"44" 61207 "sci.space" 0.520839
"45" 61338 "sci.space" 0.519548
"46" 103410 "rec.autos" 0.515069
"47" 60892 "sci.space" 0.509442
"48" 105093 "rec.sport.baseball" 0.507559
"49" 59548 "sci.med" 0.507559
"50" 60961 "sci.space" 0.503366
"51" 61560 "sci.space" 0.50136
"52" 104774 "rec.motorcycles" 0.498123
"53" 61371 "sci.space" 0.496491
"54" 178916 "talk.politics.misc" 0.493407
"55" 21367 "soc.religion.christian" 0.484642
"56" 82766 "talk.religion.misc" 0.47135
"57" 62402 "sci.space" 0.467865
"58" 61196 "sci.space" 0.46471
"59" 61173 "sci.space" 0.455928
"60" 178776 "talk.politics.misc" 0.450279
"61" 61029 "sci.space" 0.447214
"62" 61053 "sci.space" 0.447214
"63" 61087 "sci.space" 0.447214
"64" 61391 "sci.space" 0.447214
"65" 105005 "rec.sport.baseball" 0.447158
"66" 61076 "sci.space" 0.447158
"67" 61089 "sci.space" 0.447158
"68" 61137 "sci.space" 0.447158
"69" 61382 "sci.space" 0.447158
"70" 20781 "soc.religion.christian" 0.447158
"71" 60826 "sci.space" 0.447129
"72" 61055 "sci.space" 0.447129
"73" 178435 "talk.politics.misc" 0.447129
"74" 53698 "rec.sport.hockey" 0.446789
"75" 60212 "sci.space" 0.446789
"76" 54569 "talk.politics.guns" 0.446789
"77" 76278 "talk.politics.mideast" 0.446789
"78" 101634 "rec.autos" 0.446613
"79" 103753 "rec.autos" 0.446613
"80" 60180 "sci.space" 0.446613
"81" 60836 "sci.space" 0.446613
"82" 61036 "sci.space" 0.446613
"83" 61197 "sci.space" 0.446613
"84" 59065 "sci.med" 0.446431
"85" 59439 "sci.med" 0.446431
"86" 21538 "soc.religion.christian" 0.446431
"87" 104925 "rec.sport.baseball" 0.44643
"88" 54163 "rec.sport.hockey" 0.44643
"89" 60803 "sci.space" 0.44643
"90" 60992 "sci.space" 0.44643
"91" 61358 "sci.space" 0.44643
"92" 62405 "sci.space" 0.44643
"93" 60193 "sci.space" 0.446197
"94" 104937 "rec.sport.baseball" 0.446083
"95" 15210 "sci.crypt" 0.446083
"96" 84212 "talk.religion.misc" 0.446083
"97" 61256 "sci.space" 0.445536
"98" 61422 "sci.space" 0.445536
"99" 61453 "sci.space" 0.445536
"100" 103746 "rec.autos" 0.444878
"101" 61348 "sci.space" 0.444878
"102" 61390 "sci.space" 0.444878
"103" 61444 "sci.space" 0.444878
"104" 61476 "sci.space" 0.444878
"105" 54185 "talk.politics.guns" 0.444878
"106" 82796 "talk.religion.misc" 0.444878
"107" 104793 "rec.sport.baseball" 0.444126
"108" 60817 "sci.space" 0.444126
"109" 61187 "sci.space" 0.444126
"110" 61246 "sci.space" 0.444126
"111" 61396 "sci.space" 0.444126
"112" 21607 "soc.religion.christian" 0.444126
"113" 75975 "talk.politics.mideast" 0.444126
"114" 52270 "comp.sys.mac.hardware" 0.443483
"115" 52574 "rec.sport.hockey" 0.442962
"116" 61230 "sci.space" 0.442962
"117" 60783 "sci.space" 0.441986
"118" 75905 "talk.politics.mideast" 0.441918
"119" 53412 "alt.atheism" 0.440963
"120" 101677 "rec.autos" 0.440963
"121" 59444 "sci.med" 0.440963
"122" 61111 "sci.space" 0.440963
"123" 61161 "sci.space" 0.440963
"124" 61561 "sci.space" 0.440963
"125" 58103 "sci.med" 0.440581
"126" 53713 "rec.sport.hockey" 0.439596
"127" 53342 "alt.atheism" 0.439531
"128" 58095 "sci.med" 0.439531
"129" 178759 "talk.politics.misc" 0.439531
"130" 178888 "talk.politics.misc" 0.439531
"131" 60896 "sci.space" 0.436993
"132" 53337 "alt.atheism" 0.436396
"133" 60799 "sci.space" 0.434973
"134" 61218 "sci.space" 0.43375
"135" 53528 "rec.sport.hockey" 0.433568
"136" 38753 "comp.graphics" 0.432606
"137" 61292 "sci.space" 0.431919
"138" 60187 "sci.space" 0.429929
"139" 60210 "sci.space" 0.429929
"140" 60774 "sci.space" 0.429929
"141" 61365 "sci.space" 0.429056
"142" 61300 "sci.space" 0.424264
"143" 53327 "talk.politics.guns" 0.422817
"144" 77392 "talk.politics.mideast" 0.419949
"145" 178500 "talk.politics.misc" 0.418789
"146" 61459 "sci.space" 0.418232
"147" 60864 "sci.space" 0.417353
"148" 54204 "sci.electronics" 0.41735
"149" 61384 "sci.space" 0.41735
"150" 60784 "sci.space" 0.416922
"151" 61491 "sci.space" 0.416164
"152" 53880 "rec.sport.hockey" 0.414386
"153" 60214 "sci.space" 0.414386
"154" 60810 "sci.space" 0.414386
"155" 61100 "sci.space" 0.413732
"156" 53383 "alt.atheism" 0.412098
"157" 77251 "talk.politics.mideast" 0.412098
"158" 62411 "sci.space" 0.409208
"159" 38922 "comp.graphics" 0.408726
"160" 61018 "sci.space" 0.407184
"161" 60234 "sci.space" 0.405274
"162" 61272 "sci.space" 0.403876
"163" 178533 "talk.politics.misc" 0.40189
"164" 51151 "alt.atheism" 0.396149
"165" 61209 "sci.space" 0.391592
"166" 83884 "talk.religion.misc" 0.385196
"167" 52090 "comp.sys.mac.hardware" 0.380623
"168" 60956 "sci.space" 0.372132
"169" 61565 "sci.space" 0.372104
"170" 61250 "sci.space" 0.370239
"171" 62449 "sci.space" 0.368226
"172" 51133 "alt.atheism" 0.316228
"173" 51153 "alt.atheism" 0.316228
"174" 51203 "alt.atheism" 0.316228
"175" 51223 "alt.atheism" 0.316228
"176" 51265 "alt.atheism" 0.316228
"177" 53188 "alt.atheism" 0.316228
"178" 53212 "alt.atheism" 0.316228
"179" 53229 "alt.atheism" 0.316228
"180" 53274 "alt.atheism" 0.316228
"181" 53320 "alt.atheism" 0.316228
"182" 53391 "alt.atheism" 0.316228
"183" 53756 "alt.atheism" 0.316228
"184" 53792 "alt.atheism" 0.316228
"185" 54127 "alt.atheism" 0.316228
"186" 54243 "alt.atheism" 0.316228
"187" 54255 "alt.atheism" 0.316228
"188" 38258 "comp.graphics" 0.316228
"189" 38415 "comp.graphics" 0.316228
"190" 38453 "comp.graphics" 0.316228
"191" 38497 "comp.graphics" 0.316228
"192" 38539 "comp.graphics" 0.316228
"193" 38582 "comp.graphics" 0.316228
"194" 38812 "comp.graphics" 0.316228
"195" 38985 "comp.graphics" 0.316228
"196" 39500 "comp.graphics" 0.316228
"197" 39677 "comp.graphics" 0.316228
"198" 10787 "comp.os.ms-windows.misc" 0.316228
"199" 10837 "comp.os.ms-windows.misc" 0.316228
"200" 9474 "comp.os.ms-windows.misc" 0.316228
"201" 9477 "comp.os.ms-windows.misc" 0.316228
"202" 9487 "comp.os.ms-windows.misc" 0.316228
"203" 9507 "comp.os.ms-windows.misc" 0.316228
"204" 9559 "comp.os.ms-windows.misc" 0.316228
"205" 9607 "comp.os.ms-windows.misc" 0.316228
"206" 9629 "comp.os.ms-windows.misc" 0.316228
"207" 9687 "comp.os.ms-windows.misc" 0.316228
"208" 9731 "comp.os.ms-windows.misc" 0.316228
"209" 9763 "comp.os.ms-windows.misc" 0.316228
"210" 9858 "comp.os.ms-windows.misc" 0.316228
"211" 9871 "comp.os.ms-windows.misc" 0.316228
"212" 60376 "comp.sys.ibm.pc.hardware" 0.316228
"213" 60477 "comp.sys.ibm.pc.hardware" 0.316228
"214" 60493 "comp.sys.ibm.pc.hardware" 0.316228
"215" 60715 "comp.sys.ibm.pc.hardware" 0.316228
"216" 60791 "comp.sys.ibm.pc.hardware" 0.316228
"217" 60795 "comp.sys.ibm.pc.hardware" 0.316228
"218" 60813 "comp.sys.ibm.pc.hardware" 0.316228
"219" 60838 "comp.sys.ibm.pc.hardware" 0.316228
"220" 60895 "comp.sys.ibm.pc.hardware" 0.316228
"221" 60943 "comp.sys.ibm.pc.hardware" 0.316228
"222" 61053 "comp.sys.ibm.pc.hardware" 0.316228
"223" 61103 "comp.sys.ibm.pc.hardware" 0.316228
"224" 61105 "comp.sys.ibm.pc.hardware" 0.316228
"225" 50456 "comp.sys.mac.hardware" 0.316228
"226" 51521 "comp.sys.mac.hardware" 0.316228
"227" 51532 "comp.sys.mac.hardware" 0.316228
"228" 51635 "comp.sys.mac.hardware" 0.316228
"229" 51653 "comp.sys.mac.hardware" 0.316228
"230" 51677 "comp.sys.mac.hardware" 0.316228
"231" 51787 "comp.sys.mac.hardware" 0.316228
"232" 51815 "comp.sys.mac.hardware" 0.316228
"233" 51843 "comp.sys.mac.hardware" 0.316228
